Date;Intervenant;Cours
lundi 19 janvier 2026;Cefora;Kickoff
mardi 20 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
mercredi 21 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
jeudi 22 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
vendredi 23 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
lundi 26 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
mardi 27 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
mercredi 28 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
jeudi 29 janvier 2026;Ascent - Montasir;Administration systèmes Microsoft
vendredi 30 janvier 2026;;selfstudy
lundi 2 février 2026;Ascent - Yves;Infrastructure hybride en entreprise avec Microsoft
mardi 3 février 2026;Ascent - Yves;Infrastructure hybride en entreprise avec Microsoft
mercredi 4 février 2026;;selfstudy
jeudi 5 février 2026;;selfstudy
vendredi 6 février 2026;Cefora;Coaching individuel (online)
lundi 9 février 2026;Cefora;Coaching individuel (online)
mardi 10 février 2026;Ascent - Julien;Administration systèmes Linux
mercredi 11 février 2026;Ascent - Julien;Administration systèmes Linux
jeudi 12 février 2026;Ascent - Julien;Administration systèmes Linux
vendredi 13 février 2026;Ascent - Julien;Administration systèmes Linux
lundi 16 février 2026;Cefora;Projet professionnel/Soft skills
mardi 17 février 2026;Ascent - Julien;Administration systèmes Linux
mercredi 18 février 2026;Ascent - Julien;Administration systèmes Linux
jeudi 19 février 2026;Ascent - Julien;Administration systèmes Linux
vendredi 20 février 2026;Ascent - Julien;Administration systèmes Linux
lundi 23 février 2026;Ascent - Richard;Infrastructure hybride en entreprise avec Microsoft
mardi 24 février 2026;Ascent - Richard;Réseaux
mercredi 25 février 2026;Ascent - Richard;Réseaux
jeudi 26 février 2026;Ascent - Richard;Réseaux
vendredi 27 février 2026;Ascent - Richard;Réseaux
lundi 2 mars 2026;Ascent - Richard;Réseaux
mardi 3 mars 2026;Ascent - Richard;Réseaux
mercredi 4 mars 2026;Ascent - Richard;Réseaux
jeudi 5 mars 2026;Ascent - Richard;Réseaux
vendredi 6 mars 2026;Ascent - Richard;Infrastructure hybride en entreprise avec Microsoft
lundi 9 mars 2026;Ascent - Julien;Fondamentaux en programmation - Python
mardi 10 mars 2026;Ascent - Julien;Fondamentaux en programmation - Python
mercredi 11 mars 2026;Ascent - Julien;Fondamentaux en programmation - Python
jeudi 12 mars 2026;Ascent - Julien;Fondamentaux en programmation - Python
vendredi 13 mars 2026;Ascent - Julien;Fondamentaux en programmation - Python
lundi 16 mars 2026;Ascent - Julien;Fondamentaux en programmation - Python
mardi 17 mars 2026;Ascent - Bilal;Cloud - Solutions Architect
mercredi 18 mars 2026;Ascent - Bilal;Cloud - Solutions Architect
jeudi 19 mars 2026;Ascent - Bilal;DevOps - Initiation
vendredi 20 mars 2026;Cefora;Journée outils
lundi 23 mars 2026;;selfstudy
mardi 24 mars 2026;Ascent - Romain;Cadre légal & méthodologie
mercredi 25 mars 2026;Ascent - Romain;Cadre légal & méthodologie
jeudi 26 mars 2026;Ascent - Romain;Cadre légal & méthodologie
vendredi 27 mars 2026;Ascent - Romain;Cadre légal & méthodologie
lundi 30 mars 2026;Ascent - Romain;Cadre légal & méthodologie
mardi 31 mars 2026;Ascent - Romain;Cadre légal & méthodologie
mercredi 1 avril 2026;Ascent - Romain;Introduction à la gestion de crise IT
jeudi 2 avril 2026;Ascent - Romain;Cybersécurité - Parcours introductif
vendredi 3 avril 2026;Ascent - Romain;Cybersécurité - Parcours introductif
lundi 6 avril 2026;;
mardi 7 avril 2026;Ascent - Romain;Cybersécurité - Parcours introductif
mercredi 8 avril 2026;Ascent - Romain;Cybersécurité - Parcours introductif
jeudi 9 avril 2026;Ascent - Romain;Cybersécurité - Parcours introductif
vendredi 10 avril 2026;;selfstudy
